# case_id 清单：<project><TAB><doc><TAB><case_id>
# 编号规则：mesh=ASM-DOC-NNN，otel=OTEL-DOC-NNN，tracing=TRACE-DOC-NNN
# 一经分配永不复用；文档改名保留原编号，只改 doc 列；新增文档追加最大编号 +1
mesh	install-mesh-in-dual-stack-mode	ASM-DOC-001
mesh	install-mesh	ASM-DOC-002
mesh	configuring-istio-ha-by-using-autoscaling	ASM-DOC-003
mesh	configuring-istio-ha-by-using-replica-count	ASM-DOC-004
mesh	metrics-and-mesh	ASM-DOC-005
mesh	config-with-service-mesh	ASM-DOC-006
mesh	kiali	ASM-DOC-007
mesh	deploying-the-bookinfo-application	ASM-DOC-008
mesh	mtls	ASM-DOC-009
mesh	exposing-a-service-via-istio-gateway	ASM-DOC-010
mesh	exposing-a-service-via-k8s-gateway-api-in-sidecar-mode	ASM-DOC-011
mesh	routing-egress-traffic-via-istio-apis	ASM-DOC-012
mesh	routing-egress-traffic-via-k8s-gateway-api-in-sidecar-mode	ASM-DOC-013
mesh	uninstalling-alauda-build-of-kiali	ASM-DOC-014
mesh	uninstalling-alauda-service-mesh	ASM-DOC-015
mesh	update-inplace	ASM-DOC-016
mesh	istio-cni	ASM-DOC-017
mesh	update-revisionbased	ASM-DOC-018
mesh	update-revisionbased-and-istiorevisiontag	ASM-DOC-019
mesh	installing-ambient-mode	ASM-DOC-020
mesh	deploying-ambient-bookinfo	ASM-DOC-021
mesh	waypoint-proxies	ASM-DOC-022
mesh	ambient-l7-features	ASM-DOC-023
mesh	exposing-a-service-via-k8s-gateway-api-in-ambient-mode	ASM-DOC-024
mesh	routing-egress-traffic-via-k8s-gateway-api-in-ambient-mode	ASM-DOC-025
mesh	uninstalling-alauda-service-mesh-in-ambient-mode	ASM-DOC-026
mesh	updating-ambient-components	ASM-DOC-027
mesh	updating-waypoint-proxies	ASM-DOC-028
mesh	configuration-overview	ASM-DOC-029
mesh	install-multi-primary-multi-network	ASM-DOC-030
mesh	install-primary-remote-multi-network	ASM-DOC-031
otel	rbac-resources	OTEL-DOC-001
otel	install-opentelemetry	OTEL-DOC-002
otel	without-sidecar	OTEL-DOC-003
otel	uninstalling-opentelemetry	OTEL-DOC-004
otel	java-instrumentation	OTEL-DOC-005
tracing	installing-distributed-tracing-elasticsearch	TRACE-DOC-001
tracing	installing-distributed-tracing-opensearch	TRACE-DOC-002
tracing	uninstalling-distributed-tracing	TRACE-DOC-003
tracing	spm-ha-elasticsearch	TRACE-DOC-004
tracing	spm-ha-opensearch	TRACE-DOC-005
